title,link,source,journalist,date,content,classification
Finance Guy Doing Cocaine In Sad Way This Time,https://theonion.com/finance-guy-doing-cocaine-in-sad-way-this-time/,The Onion,,2025-04-04T08:00:00-05:00,,0
CNBC Hosts Sit In Stunned Silence For 19th Consecutive Hour,https://theonion.com/cnbc-hosts-sit-in-stunned-silence-for-19th-consecutive-hour/,The Onion,,2025-04-03T15:01:41-05:00,,0
Trump Informs Nation They Better Start Liking Those Little Canned Wieners,https://theonion.com/trump-informs-nation-they-better-start-liking-those-little-canned-wieners/,The Onion,,2025-04-03T13:28:02-05:00,"WASHINGTON—Saying that Americans should anticipate certain lifestyle changes as a result of his newly announced tariffs, President Donald Trump informed the nation Thursday that they better start liking those little canned wieners. “Hope you aren’t too attached to whatever fancy crap you eat now, because those little wiener dogs in the cans are coming back on the menu in a big way,” said Trump, adding that if Americans didn’t already have a good, long fork for fishing wieners out of the can, they were “sure as hell” going to need one soon. “You’re gonna eat ’em cold, and you’re gonna like ’em cold. Every meal. Don’t even think about trying to gussy them up with pickle relish. The only way you make it through these next few years is filling every shelf in your pantry with little canned wieners and knocking back the leftover hot dog water with a smile on your face. Buckle up, America. You live in ‘the wiener times’ now.” At press time, millions of Americans reportedly realized they could no longer afford the canned wieners.

",0
Inside Elon Musk’s Texas Compound,https://theonion.com/inside-elon-musks-texas-compound/,The Onion,,,,0
Israel Claims Slain Palestinian Rescue Workers Didn’t Properly Identify Selves As Human Beings,https://theonion.com/israel-claims-slain-palestinian-rescue-workers-didnt-properly-identify-selves-as-human-beings/,The Onion,,2025-04-03T12:43:57-05:00,"RAFAH, GAZA—Responding to reports that 15 rescue workers in Gaza were killed execution style and buried in a mass grave, Israel claimed this week that the slain Palestinians did not properly identify themselves as human. “Unfortunately, upon their encounter with IDF soldiers, these Palestinians provided no documentation indicating they were sentient beings entitled to basic rights,” said Israeli Prime Minister Benjamin Netanyahu, who stated that even after reviewing the situation, his government couldn’t find any credentials to support assertions that the team of Palestinian paramedics and emergency responders possessed a shared humanity. “This group was given ample opportunity to communicate to our forces that they were people endowed with inherent dignity who should not be gunned down on sight, but they failed to do so. How else were we to know they weren’t subhuman scum that needed to be wiped off the face of the earth?” Israeli officials went on to clarify that when it came to Palestinians identifying themselves as conscious beings deserving of respect, crying and begging for one’s life did not count as sufficient verification.

",0
Man Already Having Bad Day Deported To Salvadoran Mega-Prison,https://theonion.com/man-already-having-bad-day-deported-to-salvadoran-mega-prison/,The Onion,,2025-04-03T08:48:12-05:00,"TECOLUCA, EL SALVADOR—Saying things had only gone downhill after a terrible morning, lawful U.S. resident Oscar Fernandez-Lopez, 38, stated Wednesday that he had already been having a bad day before being deported to the Salvadoran mega-prison known as CECOT. “I knew things were heading in the wrong direction when I spilled coffee on my shirt, and that was without getting sent to one of the most hellish prisons in Central America,” said the husband and father of three, who described his rendition to a penitentiary that can hold up to 40,000 people as “just the cherry on top” of an awful day that had begun with him missing his bus to work and ended with him being shoved into a cramped cell to be sadistically tortured by Barrio 18 gang members. “Maybe it was my mistake for thinking everything might turn around after I stepped in a puddle and got my shoe soaking wet. Now my right to a trial has been suspended for no clear reason, I’ve been falsely labeled as part of the MS-13 gang, I’m separated from my family despite my status as a legal immigrant to the United States, and they’re apparently going to starve me? Jesus Christ, there are days and then there are days.” At press time, when Fernandez-Lopez was overheard telling himself that things would surely start to improve now, several baton-wielding guards in body armor had reportedly entered his cell.

",0
SeaWorld Visitors Delighted By Live Garbage-Patch Feeding,https://theonion.com/seaworld-visitors-delighted-by-live-garbage-patch-feeding/,The Onion,,2025-04-02T11:05:49-05:00,"SAN DIEGO—With the spellbound audience in the Marine Trash Experience amphitheater shouting and squealing with excitement, SeaWorld visitors were reportedly delighted Wednesday by a live garbage-patch feeding. “The keepers threw a bunch of plastic bags into the middle of the habitat, and all of a sudden this enormous blob of debris floated up and swallowed it!” said SeaWorld guest Trinity Morrow, adding that her family would visit the gift shop next in order to purchase plush stuffed garbage patches for both of her children. “We learned that in the wild, the patch’s diet primarily consists of fishing line, styrofoam, and tons of microplastic, but they get extra treats here at the park like cling wrap and action figures. It was amazing to see it ripple through the water, leaving a shiny trail of oil in its wake. We were sitting pretty far back, but the patch still managed to splash us!” At press time, reports confirmed the exhibit had been closed after the patch pulled a trainer into the water and drowned him before partially consuming his body.

",0
DEA Classifies Red Wine As Schedule I Drug To Spite Ex-Wife,https://theonion.com/dea-classifies-red-wine-as-schedule-i-drug-to-spite-ex-wife/,The Onion,,2025-04-02T08:00:00-05:00,"SPRINGFIELD, VA—In a decision meant to crack down on the allegedly dangerous substance and the “total fucking bitch” who uses it, the acting head of the U.S. Drug Enforcement Administration, Derek Maltz, classified red wine as a Schedule I drug Wednesday in order to spite his ex-wife. “We have been far too lenient to the cold, vicious harpies who use this substance—if you run to the liquor store down the street for a bottle of Yellow Tail malbec, bring it home, and pour yourself a glass, that will now be classified as drug-trafficking,” said Maltz, explaining that substances newly classified as Schedule I include pinot noir, merlot, shiraz, and any beverage enjoyed during a tasting tour of the Loudoun County wineries outside of D.C. “This drug has caused irreparable damage to society and needs to be taken off the street. Otherwise, the country will continue to be overrun by passive-aggressive scolds who don’t even need all that goddamn child support.” At press time, Maltz added that mixing up a pitcher of margaritas for the girls should be made a Class B felony punishable by up to 25 years in a federal penitentiary.

",0
Washington Monument Collapses After Someone Pulls Loose Block,https://theonion.com/washington-monument-collapses-after-someone-pulls-loose-block/,The Onion,,2025-04-02T08:00:00-05:00,,0
Attorney General Seeks Death Penalty For All UnitedHealthcare Customers,https://theonion.com/attorney-general-seeks-death-penalty-for-all-unitedhealthcare-customers/,The Onion,,2025-04-01T13:07:20-05:00,,0
College Campus Tour Ends Inside Unmarked ICE Vehicle,https://theonion.com/college-campus-tour-ends-inside-unmarked-ice-vehicle/,The Onion,,2025-04-01T10:22:56-05:00,"ITHACA, NY—As nearly a dozen prospective students were forced into the back of a car with tinted windows, a Cornell University campus tour reportedly ended Tuesday inside an unmarked Immigration and Customs Enforcement vehicle. “Over there you can see our student center, which boasts its own bowling alley, and then, if you all will follow me, it seems these masked gentlemen want us to wrap things up in their black SUV,” said tour guide and Cornell junior Jacob Geisner, who was preparing to describe the college’s housing options and meal plans when three ICE officers in street clothes rushed up and, without identifying themselves, demanded the group of 16- and 17-year-olds come with them immediately. “This isn’t a scheduled part of the tour, but I can tell you we’re currently leaving the campus at about 100 miles per hour. Out that window, you’ll see the last glimpse of our largest dining hall, named after Toni Morrison. At this point I need to depart from my prepared script because I don’t know where they’re taking us, but this highway does go to the nearest major airport, in Syracuse, and it sounds like we all need to bind our wrists with these heavy-duty zip ties or they’ll treat us as if we’re resisting arrest.” At press time, the Department of Homeland Security issued a short statement saying the tour group was now in a detention facility in Jena, LA.

",0
COBRA Extension Lets Terminated Employees Continue Raiding Office Fridge For 18 Months,https://theonion.com/cobra-extension-lets-terminated-employees-continue-raiding-office-fridge-for-18-months/,The Onion,,2025-04-01T08:00:00-05:00,"MANCHESTER, NH—Saying the option offered an extra safety net to anyone faced with a job loss, administrators at Brentwell Solutions confirmed Wednesday that an extension of benefits through COBRA would allow terminated employees to continue raiding the office fridge for 18 months. “As part of our standard severance offerings, peckish beneficiaries have a period of one and a half years during which they can still pilfer a few bites from Tupperware containers in the fridge to meet their lunchtime needs,” said HR representative Taylor Malmquist, adding that eligible individuals could also polish off somebody’s half-eaten BLT and then act like they hadn’t noticed the name written on it when confronted by their former coworker. “While you’re searching for your next job, you can rest easy knowing you’ll be able to access the same tub of Philadelphia Cream Cheese you swiped the occasional scoop from as an employee. If you have dependents, feel free to snag them a couple seltzers from the mini fridge as well. And even after your 18 months are over, you can apply to continue going to town on the oranges and trail mix packets in the snack rack indefinitely. We usually just end up throwing them out, regardless.” Malmquist later clarified that COBRA did not allow former employees to keep using office paper towels, given how hard it was to find a roll already.

",0
New Law Requires Texans To Show ID To Buy Phallic Foods,https://theonion.com/new-law-requires-texans-to-show-id-to-buy-phallic-foods/,The Onion,,2025-03-28T08:00:00-05:00,"AUSTIN, TX—In an effort to crack down on the statewide proliferation of adult foodstuffs, the Texas Legislature passed a new law Friday requiring all residents to show identification to buy phallic foods. “From bananas to cucumbers to submarine sandwiches, obscene foods will no longer be allowed to fall into the hands of minors in the Lone Star State,” said Gov. Greg Abbott, adding that an officially issued driver’s license or passport would be needed to purchase a baguette, which is defined in the legislation as “any elongated breadlike object used to simulate male genitals.” “No decent person should be buying lewd produce and baked goods, which is why these items need to be safely placed behind locked plexiglass cases or in an adults-only section of the supermarket where innocent kids can’t see them. And rest assured, if you are found to be buying a corn dog or eggplant for a child, you’ll be placed on a watchlist.” At press time, Texas had reportedly expanded the law to require an ID to purchase any deli meats that realistically mimic vaginal texture.

",0
Trump Announces 25% Tariff On Talking Cars,https://theonion.com/trump-announces-25-tariff-on-talking-cars/,The Onion,,2025-03-28T08:00:00-05:00,"WASHINGTON—In a stunning escalation of his ongoing automotive trade war, President Donald Trump announced Friday that he was imposing a 25% tariff on foreign-made cars that talk, make wisecracks, and have real emotions just like people. “For too long, the American market for cars that not only talk but have a personality all their own has been flooded with imports,” Trump said in a fiery address, stating that U.S. manufacturers of sentient, anthropomorphized cars that flap their hoods to speak, use their headlights to see, and curl their bumpers to smile would profit greatly under the new policy. “Our rivals are sending us talking cars that honk to flirt or use their radios to deliver sly zingers after they win a big race. Herbie the Love Bug is a Volkswagen Beetle. Let’s send him back to Germany where he belongs.” Trump added that he would also sign an executive order making the official language of talking cars English.

",0
Big Bird Seen Working At Local Starbucks After PBS Funding Cuts,https://theonion.com/big-bird-seen-working-at-local-starbucks-after-pbs-funding-cuts/,The Onion,,2025-03-28T08:00:00-05:00,,0
Cardinals Begin Placing Stickers On Vatican Relics They Want When Pope Francis Dies,https://theonion.com/cardinals-begin-placing-stickers-on-vatican-relics-they-want-when-pope-francis-dies/,The Onion,,2025-03-27T13:04:27-05:00,"VATICAN CITY—With many remarking that they’d had their eyes on the holy artifacts since they first saw them, cardinals of the Roman Catholic Church reportedly began placing stickers this week on the Vatican relics they wanted when Pope Francis dies. “I’ll take these fragments of the true cross, I’ll take St. Peter’s bones, and before someone else claims it, I’ll take the Shroud of Turin,” said His Eminence Giovanni Battista Re, dean of the College of Cardinals, who placed an adhesive red dot onto the Veil of Veronica and remarked that it would bring a much needed pop of color to his otherwise drab bedroom. “Honestly, Pope Francis and I already talked about my inheritance, but I don’t want to miss out on the good stuff like I did when John Paul died. There’s no way Cardinal Mamberti is getting his grubby little hands on my crown of thorn fragments. Or my favorite, the holy foreskin.” At press time, Cardinal Re was kicking himself after a fellow prelate had beaten him to the punch and placed a sticker on the Holy Lance.

",0
Food Stamps: Myth Vs. Fact,https://theonion.com/food-stamps-myth-vs-fact/,The Onion,,2025-03-27T10:58:44-05:00,"More than 41 million Americans receive monthly benefits through the Supplemental Nutrition Assistance Program, also known as food stamps.The Oniondispels the common myths surrounding SNAP.

MYTH: Defunding food stamp programs won’t actually save the government money.

FACT: Cutting food stamp funding will eliminate millions of unnecessary citizens.

MYTH: People who receive food stamps don’t work.

FACT: You are browsing the internet instead of working right now.

MYTH: Democrats use food stamps as a bribe so people will vote for them.

FACT: Democrats would never be this cutthroat or clever.

MYTH: You can be disqualified from food stamp programs if you own a car.

FACT: Jesus Christ, don’t give them more ideas.

MYTH: SNAP is filled with fraud and corruption.

FACT: The sole remaining SNAP employee is a real solid dude.

MYTH: You can use food stamps to buy alcohol.

FACT: Only if you know how to make hooch out of Juicy Juice.

MYTH: A reshaped SNAP could force Americans to pass drug tests before they receive food stamps.

FACT: Food stamp eligibility will be determined only by combat in the BloodDome.

",0
Pete Hegseth Blows Into Breathalyzer To Unlock Phone,https://theonion.com/pete-hegseth-blows-into-breathalyzer-to-unlock-phone/,The Onion,,2025-03-27T09:38:16-05:00,"WASHINGTON—Grumbling to himself as he repeatedly dropped the device, U.S. Secretary of Defense Pete Hegseth was reportedly blowing into a Breathalyzer Thursday in an attempt to unlock his phone. “Stupid fucking judge made me put this on my iPhone,” said the head of the nation’s largest government agency, snapping his fingers to get the attention of his deputy defense secretary and ask his subordinate to blow into the Breathalyzer for him. “Hey, could you do me a favor here? It’s not working, I think because I used mouthwash before I left the house this morning. Please? It’s really important. I got to send some war plans.” At press time, sources confirmed Hegseth was sleeping it off in a SCIF.

",0
Study Finds Breastfed Children Far Better At Suckling Later In Life,https://theonion.com/study-finds-breastfed-children-far-better-at-suckling-later-in-life/,The Onion,,2025-03-27T08:00:00-05:00,"CAMBRIDGE, MA—In a revelation shedding light on a previously unexamined facet of childhood development, a study published Thursday by researchers at Harvard University found that those who were breastfed as infants tended to excel at suckling later in life. “In all 50 states, children who were breastfed outperformed their peers on suckling aptitude tests, having far more pronounced suckling power and an average latch force of 9.2,” said study co-author Holly Kline, outlining major breakthroughs from the decades-long study on the impacts of infant nursing and the ability to suck milk directly from a breast as an adult. “By every metric, those who suckled heavily as babies were far more prepared for accessing the milk pools in adulthood than those who did not. It’s clear that adults who were formula-fed as infants face significant disadvantages when it comes to suckling later in life, and this can only be remedied by years of occupational suckling therapy.” Kline concluded by cautioning that despite the encouraging results, those who suckle excessively as infants may develop suckling strength so intense that in adulthood they slurp a nipple clear off the body.

",0
Report: Anti-Science Attitude Strongest Among Those Who Believe Turtle Has Little Apartment Inside Shell,https://theonion.com/report-anti-science-attitude-strongest-among-those-who-believe-turtle-has-little-apartment-inside-shell/,The Onion,,2025-03-26T08:00:00-05:00,"CHICAGO—Highlighting a rising distrust in evidence-based knowledge,  a report published Wednesday in theAmerican Journal Of Sociologyfound that anti-science attitudes were strongest amongst those who believe turtles have a little apartment inside their shell. “Americans who reject or question established scientific consensus are more likely to maintain the wholly unsupported theory that when a turtle pulls his head and feet into his shell, he’s actually stepping into a tiny home,” said the report’s author, Professor Darius Aybar, adding that when shown an X-ray that disproved their assertion, people simply doubled down and insisted that the turtle was actually inside the shell, seated in an overstuffed armchair and reading a book very slowly by the fireplace. “No evidence can sway these individual from their conviction that a turtle’s shell contains a cozy one-room residence with rustic wooden floors, a dining table permanently set with a hot-cooked dinner, and, somehow, a few windows with light streaming through dainty curtains. If you hand them a shell to examine, they’ll accuse of having removed the claw-foot bathtub where the turtle takes a sudsy bubble bath and say you are trying to trick them. Across the political spectrum, many people harbor the belief that when a turtle goes to sleep, he puts on a nightcap and pulls a patchwork quilt over him in a canopy bed before blowing out a stub of candle.” At press time, several states had introduced legislation that would require the turtle-apartment theory to be included in high school biology textbooks.

",0
Laid-Off 23andMe Employee Packs Up Box Full Of Bodily Fluids,https://theonion.com/laid-off-23andme-employee-packs-up-box-full-of-bodily-fluids/,The Onion,,2025-03-26T08:00:00-05:00,"SUNNYVALE, CA—Creating a trail of liquid that dripped from her desk to her car, laid-off 23andMe employee Marcia Nashold reportedly packed up her box of bodily fluids Wednesday morning and vacated her office. According to sources, the 52-year-old data engineer emptied the contents of her desk drawers, filing cabinet, and mini fridge into the cardboard box, filling the container to its brim. Nashold was then overheard muttering “a lot of memories in these fluids” as she trudged to the elevator, the box’s contents occasionally splashing her shirt. Reports stated that as the elevator doors closed, the terminated employee nodded and made eye contact with another laid-off colleague, who was attempting to wring an unknown fluid out of a towel and into a box of his own. At press time, witnesses confirmed that Nashold had gotten into a screaming match with 23andMe security guards who had confiscated the box despite her claims that the fluids were personal fluids.

",0
Teen Warned Not To Accept Group Chat Invites From National Security Advisors She Doesn’t Know,https://theonion.com/teen-warned-not-to-accept-group-chat-invites-from-national-security-advisors-she-doesnt-know/,The Onion,,2025-03-26T08:00:00-05:00,,0
"‘I Messed Up At Work Again,’ Crestfallen Michael Waltz Texts Wife, National Geographic Editorial Staff",https://theonion.com/i-messed-up-at-work-again-crestfallen-michael-waltz-texts-wife-national-geographic-editorial-staff/,The Onion,,2025-03-25T14:18:17-05:00,,0
Democrats Huddle To Decide How Best To Let Massive Republican Fuck-Up Slip Through Fingers,https://theonion.com/democrats-huddle-to-decide-how-best-to-let-massive-republican-fuck-up-slip-through-fingers/,The Onion,,2025-03-25T14:13:51-05:00,,0
DOJ Designates Posting Photos Of Balding Elon Musk As Domestic Terrorism,https://theonion.com/doj-designates-posting-photos-of-balding-elon-musk-as-domestic-terrorism/,The Onion,,2025-03-21T08:00:00-05:00,"WASHINGTON—Warning that the charge carried a five-year mandatory minimum sentence, the U.S. Department of Justice declared Friday that the distribution of images featuring a balding Elon Musk constituted an act of domestic terrorism. “For the benefit of all Americans, anyone who posts or reposts photos from Mr. Musk’s PayPal days will be prosecuted for terrorism,” said Attorney General Pam Bondi, who confirmed the Justice Department was already prosecuting multiple cases in which social media users were alleged to have disseminated decades-old photos of the DOGE leader’s receding hairline. “Anyone who likes or replies to the photos will be treated as a terrorist sympathizer. If you possess these images, delete them now. Elon Musk is a patriot with a great American hairline.” At press time, President Donald Trump was showing his support for Musk by getting hair plugs in a televised press conference on the White House South Lawn.

",0
Tips For Dealing With Spam Texts,https://theonion.com/tips-for-dealing-with-spam-texts/,The Onion,,2025-03-21T08:00:00-05:00,"Spam texts are on the rise.The Onionshares tips for dealing with scam and spam messages on your phone.

Remember that the IRS will never contact you over text, unless you are in serious trouble and need to pay right now.

If replying with STOP doesn’t work, try CUT IT OUT.

Compare suspicious messages with real exchanges you’ve had with beautiful rich women whom you met on a train in Taiwan.

Report anything that looks like a scam to Netflixporn4cashj7879.ru.

Never respond to suspicious texts such as “Hey Nate, I’ve really become concerned about your drinking habits.”

Let them die in the graveyard of all your other text messages.

Try not to think about the fact that it could be a real free luxury cruise and it’s slipping through your fingers.

Do what the text says. If it’s in writing, it’s the law.

",0
Nation’s Fuckups Announce Plan To Get Shit Together For Real This Time,https://theonion.com/nations-fuckups-announce-plan-to-get-shit-together-for-real-this-time/,The Onion,,2025-03-21T08:00:00-05:00,"WASHINGTON—Stressing that they were approaching the future with the utmost seriousness, the nation’s fuckups announced a plan Friday to get their shit together for real this time. “While I know we’ve made assurances like this in the past, as of today we are really and truly committed to putting an end to the bullshit and getting our lives on track,” said fuckup Lionel Snow, 37, joining millions of incompetent reprobates across the country to outline the steps they intended to take in order to leave all that dumbass garbage from their past behind and start acting like a goddamn adult. “I’m happy to reveal that things have finally started turning our way, and with a couple of lucky breaks, we could have something pretty sweet going that’s totally legit—swear to fucking God. So let me be clear: It’s long past time for us to straighten up and fly right, and that is exactly what you will be seeing from here on out.” Snow added that all they needed was $4,500 to get started.

",0
What To Know About Beef Tallow,https://theonion.com/what-to-know-about-beef-tallow/,The Onion,,2025-03-20T10:18:11-05:00,"Beef tallow, also known as rendered beef fat, is trending among beauty and health influencers. Here is everything you need to know about the by-product.

Q: What is beef tallow used for?

A: Cooking, skincare, and fixing squeaky cows.

Q: Why should I cook with it?

A: To crisp up those soft, supple arteries.

Q: Where can I get beef tallow?

A: Nail a metal tap into the side of a cow and let the liquid run into a bucket.

Q: Is it true that RFK Jr. cooked his Thanksgiving turkey in tallow?

A: No, but he did cook his Thanksgiving mountain lion in tallow.

Q: What are the benefits of eating beef tallow?

A: You can rest easy knowing that no part of your meal was made without animal suffering.

Q: What is the main benefit of using beef tallow as a facial moisturizer?

A: It helps grow your tradwife TikTok account.

Q: Will it really make my skin look better?

A: Have you ever seen a cow with acne?

Q: How do I apply it?

A: Just lie down under the deep fryer at your local Carl’s Jr. and let gravity do the rest.

",0
Trump Announces SEAL Team 6 Killed U.S. Protester In Daring Overnight Raid,https://theonion.com/trump-announces-seal-team-6-killed-u-s-protester-in-daring-overnight-raid/,The Onion,,2025-03-20T09:35:17-05:00,"WASHINGTON—Addressing the nation to reveal that one of the greatest threats facing the country had been eradicated, President Donald Trump announced Thursday that SEAL Team Six had killed a U.S. protester in a daring overnight raid. “Tonight, I can report to the American people and to the world that the United States has conducted an operation that killed Daniel J. McLeigh, the notorious activist responsible for dozens of peaceful protests on the University of Pennsylvania campus,” said the commander-in-chief, describing the moment in the Situation Room when he ordered a Navy SEAL special missions unit to land on the university’s quad, raid a freshman dormitory, and eliminate the undergrad with extreme prejudice as “the proudest of his presidency.” “These boys flew in under the cover of darkness. They used night-vision goggles and thermal tracking to make sure we never lost track of the target. We did have to abandon one Black Hawk helicopter after it crashed into the dining hall, but that’s a small price to pay for making sure we’ll never again live in fear of this English major. More details will be released in the coming days, but for now I’ll just say this: We got him. We got him, folks. Thank you. May God bless you. And may God bless the United States of America.” The White House also released a statement confirming the 19-year-old’s body had been buried in the Delaware River so that he would not have a grave that became a site of pilgrimage for other politically engaged citizens.

",0
Study: 93% Of Individuals With One Earbud In Receiving Top-Secret Commands From HQ,https://theonion.com/study-93-of-individuals-with-one-earbud-in-receiving-top-secret-commands-from-hq/,The Onion,,2025-03-20T08:00:00-05:00,"WASHINGTON—Despite the risks to national security from revealing such confidential information, the Pew Research Center released a study Thursday proving that 93% of individuals with one earbud in are receiving top-secret commands from HQ. “Nearly every person you see in public wearing a single earbud is currently undertaking a clandestine mission on behalf of an undisclosed government agency,” the report read in part, going on to state that the increase in persons wearing one earbud was directly correlated to the decrease in access to phone booths where agents would have previously accepted their assignments. “The man on the bus bobbing his head to “music” is actually carrying out a covert hit via a directive from headquarters. Same with the woman at the grocery store engaging in a “phone call” with her “sister.” These operatives are highly skilled at blending in with the public while they wait for confirmation that Operation Sidewinder is a go. Then they move into position and take out their target.” While a spokesperson for the Defense Department dismissed the findings as “total fiction,” the study also found that the Pentagon is the No. 1 purchaser of earbuds in the country.

",0
New Federal Law Mandates Women Talk With Baby Voice,https://theonion.com/new-federal-law-mandates-women-talk-with-baby-voice/,The Onion,,2025-03-19T08:00:00-05:00,"WASHINGTON—In a decisive victory for longtime champions of the cause, congressional leaders announced Wednesday the passage of a new federal law mandating that all women talk with a baby voice. “Under the terms of this legislation, every American female over the age of 18 is now required to speak with short, simple words in a high vocal register,” said Senate Majority Leader John Thune, underlining the Republican mission of paring down the vocabularies of every adult woman in the United States to a maximum of five words, including “night night,” “wuv,” and “tummy.” “This goes for all women, including my Senate colleagues: You must immediately tie your hair into pigtails and replace your standard laugh with a coquettish giggle. Any woman not wearing a schoolgirl uniform will be considered to have acted in direct violation of this law, as will any woman who refers to a man by any term other than ‘daddy.’” Thune went on to express his support for a similar law that would require all the nation’s men to lower their voices by at least two octaves and communicate solely through grunts.

",0
JD Vance Reminded Caddies Not Allowed In Clubhouse,https://theonion.com/jd-vance-reminded-caddies-not-allowed-in-clubhouse/,The Onion,,2025-03-18T08:00:00-05:00,"WEST PALM BEACH, FL—Finding himself stopped upon entering a building at the Trump International Golf Club, Vice President JD Vance was reportedly reminded by a staff member Tuesday that caddies are not allowed in the clubhouse. “Sir, sir, you can’t go in there,” said head of guest services Melanie Cole, gently taking the vice president by the elbow and escorting him back out the front door. “We can’t have caddies scrounging for tips around the dining area. If you’re looking for a restroom or somewhere to wash off your shoes, you’ll find everything you need in the caddy shack down the road. And the host stand will radio if you’re needed by a club member, all right? Now I don’t want to see you in here again, or we’ll have to dock your pay.” Cole added privately that she suspected Vance was the one stealing golf pencils.

",0
"Dejected Schumer Superfan Can’t Believe He Dropped $10,000 On VIP Party Package",https://theonion.com/dejected-schumer-superfan-cant-believe-he-dropped-10000-on-vip-party-package/,The Onion,,2025-03-17T12:38:08-05:00,"BALTIMORE—In the wake of news that the New York senator had postponed his book tour amid controversy over his vote for a spending bill, dejected Chuck Schumer superfan Sean Angston told reporters Monday that he couldn’t believe he had dropped $10,000 on a VIP party package. “Chuck is basically my idol, so I can’t tell you how excited I was to do that backstage champagne toast with him and get the autographed tote bag,” said Angston, who went on to express reservations about ever buying the Chuck Schumer VIP Party Experience again after seeing how the minority leader had treated ardent fans who had sunk thousands on a supposedly “unforgettable meet and greet” with him. “If they’re gonna offer these VIP packages, they need to realize they’re playing with the dreams of fans. At this point, it doesn’t matter if they mail me the limited-edition poster with his headshot on it. Too little, too late in my book. This totally ruined my birthday plans, too.” At press time, Angston had announced plans to get over the disappointment by purchasing a Preshow Party Package with Sen. Michael Bennet featuring specialty Bennet-themed cocktails.

",0
